date,weekly,weight,des,channel_code,platform_shop_name,supply_channel_code,supply_channel_name,discount,total_fee,total_original_fee,zh_name,weight_strategy,platform,order_no,currency,分组,标签
2022-01-01,202153,0.481,ES,CNE全球优先,,优先_ESTIPSA,优先_ESTIPSA,,54.6345,,棉麻男士长裤,K8,WISH,0079150079158003508607001,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.927,HU,CNE全球特惠,,特惠_OHUDPD,特惠_OHUDPD,,99.722,,棉制男士束脚裤,K8,WISH,3A5V597690616,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.598,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,71.345,,棉制男士裤子,K8,WISH,000247271276GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.611,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,72.3525,,不锈钢螺丝刀,K8,WISH,000247268367GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.582,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,64.761,,卷发器,K8,WISH,T00D7A0095500765,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.468,PL,CNE全球特惠,,特惠_PLDHL,特惠_PLDHL,,54.376,,棉制男士裤子,K8,WISH,24552066763,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.516,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,64.99,,棉制男士束脚裤,K8,WISH,000247274958GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.812,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,84.426,,注油管,K8,WISH,T00D7A0095852328,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.605,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,71.8875,,不锈钢螺丝刀,K8,WISH,000247269025GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.48,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,56.04,,打底裤,K8,WISH,T00D7A0095565064,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.729,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,81.4975,,棉亲子装,K8,WISH,000247268952GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.455,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,60.2625,,打底裤,K8,WISH,000247278063GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.809,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,92.046,,棉制针织女士睡袍,K8,WISH,3A5V597850099,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.477,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,55.7835,,橡胶玩具,K8,WISH,T00D7A0095878334,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.883,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,93.4325,,棉制男士外套,K8,WISH,000247271273GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.708,ES,CNE全球优先,,优先_ESTIPSA,优先_ESTIPSA,,71.546,,男式呢裤子,K8,WISH,3A5V597907873,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-04,202202,0.666,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,76.615,,女士雪地靴皮革,K8,WISH,000247271635GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-04,202202,0.697,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,79.0175,,男士棉质外套,K8,WISH,000247277913GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-04,202202,0.584,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,64.932,,陶制马克杯,K8,WISH,T00D7A0095900371,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-04,202202,0.546,IT,CNE华东欧电,,华东_WITGLS,华东_WITGLS,,80.508,,灭蚊拍,W,WISH,000247280965GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-04,202202,0.64,IT,CNE全球优先,,优先_ITGLS,优先_ITGLS,,74.6,,打底裤,K8,WISH,000247274212GLS,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-04,202202,0.655,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,75.4175,,蓝鲸公仔,W,WISH,6A21581954780,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,1.037,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,103.6635,,棉制男式牛仔裤,K8,WISH,T00D7A0095677174,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.944,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,104.736,,男士棉开衫,K8,WISH,3A5V597907898,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.745,CZ,CNE全球优先,,优先_OCZGLS,优先_OCZGLS,,84.6975,,棉制男士外套,K8,WISH,903488588833,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-01,202153,0.807,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,91.858,,男式毛衣,K8,WISH,3A5V597716915,CNY,"(0.453, 1.1]",0.454-1.1KG
