date,weekly,weight,des,channel_code,platform_shop_name,supply_channel_code,supply_channel_name,discount,total_fee,total_original_fee,zh_name,weight_strategy,platform,order_no,currency,分组,标签
2021-12-01,202149,0.495,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,54.3525,,长袖,K8,WISH,T00D7A0091281777,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.977,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,97.275,,书包,W,WISH,6A21580445692,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.628,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,64.926,,刷墙滚轮,K8,WISH,T00D7A0090958670,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,1.019,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,148.05,,双肩包,K8,WISH,6A21580445906,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,1.149,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,106.3455,,记忆海绵枕头,K8,WISH,T00D7A0091487608,CNY,"(1.1, 2.0]",1.101-2KG
2021-12-01,202149,1.209,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,111.1155,,女士毛呢外套,K8,WISH,T00D7A0091008894,CNY,"(1.1, 2.0]",1.101-2KG
2021-12-01,202149,0.363,LT,CNE全球特惠,,特惠_OLTVPK,特惠_OLTVPK,,49.944,,儿童睡衣,K8,WISH,3A5V594822057,CNY,"(0.34, 0.453]",0.341-0.453KG
2021-12-01,202149,0.083,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,21.5985,,点痣笔,K8,WISH,T00D7A0091878239,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.368,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,50.96,,棉制男士束脚裤,K8,WISH,3A5V594965621,CNY,"(0.34, 0.453]",0.341-0.453KG
2021-12-01,202149,0.242,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,34.239,,女士皮包,K8,WISH,T00D7A0091466919,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.383,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,45.4485,,轮廓仪,K8,WISH,T00D7A0091749399,CNY,"(0.34, 0.453]",0.341-0.453KG
2021-12-01,202149,0.022,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,16.749,,铜项链,K8,WISH,T00D7A0091478142,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.045,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,18.5775,,化妆道具,K8,WISH,T00D7A0091521020,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.248,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,34.716,,衬衫男,K8,WISH,T00D7A0091271839,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.604,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,69.3,,坐垫,K8,WISH,6A21580282914,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.608,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,69.6,,坐垫,K8,WISH,6A21580282938,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.45,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,50.775,,睡衣,K8,WISH,T00D7A0091431839,CNY,"(0.34, 0.453]",0.341-0.453KG
2021-12-01,202149,0.793,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,78.0435,,塑料帐篷,K8,WISH,T00D7A0091618378,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.083,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,23.885,,合金扳手,K8,WISH,3A5V594735212,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.521,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,56.4195,,手提包,K8,WISH,T00D7A0091307848,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.346,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,42.507,,单肩包,K8,WISH,T00D7A0091469030,CNY,"(0.34, 0.453]",0.341-0.453KG
2021-12-01,202149,0.766,PL,CNE全球特惠,,特惠_PLDHL,特惠_PLDHL,,76.514,,男棉服外套,K8,WISH,24439356528,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.213,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,31.9335,,印花挂毯,K8,WISH,T00D7A0091165531,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.172,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,28.674,,狗衣服,K8,WISH,T00D7A0091923123,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.307,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,39.4065,,香精瓶,K8,WISH,T00D7A0091751596,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.036,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,17.862,,搓脸巾,K8,WISH,T00D7A0091910316,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.57,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,60.315,,分割器,K8,WISH,T00D7A0091385640,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.867,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,89.025,,母婴包,K8,WISH,6A21580099840,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.306,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,39.327,,化纤女士塑腰带,K8,WISH,T00D7A0091742636,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.084,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,21.678,,八音盒,K8,WISH,T00D7A0091334340,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.077,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,21.1215,,合金吊坠颈链,K8,WISH,T00D7A0090993876,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.09,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,22.155,,音乐盒,K8,WISH,T00D7A0091792972,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.434,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,49.503,,塑身衣,K8,WISH,T00D7A0091135502,CNY,"(0.34, 0.453]",0.341-0.453KG
2021-12-01,202149,0.095,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,22.5525,,男士针织帽,K8,WISH,T00D7A0091413350,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.235,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,33.6825,,单肩包,K8,WISH,T00D7A0091467036,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.118,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,27.21,,铜除毛器,K8,WISH,3A5V594549062,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.872,LT,CNE全球特惠,,特惠_OLTVPK,特惠_OLTVPK,,94.736,,棉制女士卫衣,K8,WISH,3A5V594823497,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.599,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,62.6205,,轮廓仪,K8,WISH,T00D7A0091166468,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.058,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,19.611,,塑料框架,K8,WISH,T00D7A0091094251,CNY,"(0.0, 0.34]",0-0.34KG
2021-12-01,202149,0.679,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,147.825,,牛津布妈咪包,K8,WISH,6A21580162964,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.489,CZ,CNE全球优先,,优先_OCZGLS,优先_OCZGLS,,62.8095,,棉制男士裤子,K8,WISH,903488381540,CNY,"(0.453, 1.1]",0.454-1.1KG
2021-12-01,202149,0.419,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,55.805,,毛绒玩具,K8,WISH,3A5V594344132,CNY,"(0.34, 0.453]",0.341-0.453KG
2021-12-01,202149,0.918,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,92.85,,布面男式运动鞋,K8,WISH,6A21580194637,CNY,"(0.453, 1.1]",0.454-1.1KG
